sample_idx,timestamp,C3,C4,Cz,Fz,label_int,label_str
44,0.171875,-5.8547,-6.3033,-5.551,-3.9575,0,REST
45,0.17578125,-5.5543,-5.9419,-2.823,-5.5587,0,REST
46,0.1796875,-3.5661,-5.0278,-8.6296,-0.3979,0,REST
47,0.18359375,-2.2446,-2.4457,-3.5121,-2.2355,0,REST
48,0.1875,1.4088,-0.8534,-3.9383,7.0526,0,REST
49,0.19140625,1.1513,5.1118,1.6624,3.5891,0,REST
50,0.1953125,0.7544,3.5359,4.7786,7.0488,0,REST
51,0.19921875,1.3545,6.8559,2.0516,8.5454,0,REST
52,0.203125,2.1673,5.5606,3.5347,8.0596,0,REST
53,0.20703125,0.6188,9.0646,5.2493,2.6086,0,REST
54,0.2109375,5.4142,7.5519,4.012,0.9475,0,REST
55,0.21484375,3.6777,11.5707,0.4781,1.5138,0,REST
56,0.21875,3.9046,5.6855,5.3604,3.1952,0,REST
57,0.22265625,3.2633,6.9075,2.4927,2.8377,0,REST
58,0.2265625,3.1585,4.3615,3.7306,0.9078,0,REST
59,0.23046875,4.5753,0.7249,0.6432,0.5513,0,REST
60,0.234375,0.8099,1.9191,4.8728,-0.9257,0,REST
61,0.23828125,4.5741,-1.7629,1.6073,-2.9596,0,REST
62,0.2421875,2.3177,-5.5946,3.5791,-2.9872,0,REST
63,0.24609375,3.764,-6.4119,-0.0445,0.9603,0,REST
64,0.25,-0.8559,-3.3506,1.0826,-1.2087,0,REST
65,0.25390625,1.0834,-11.9099,2.1516,-4.4246,0,REST
66,0.2578125,1.7115,-9.7433,0.9869,-3.5246,0,REST
67,0.26171875,-2.4762,-7.02,1.1129,-0.2298,0,REST
68,0.265625,-0.9072,-6.7671,0.8535,-0.7248,0,REST
69,0.26953125,-1.091,-7.421,2.4457,-1.3828,0,REST
70,0.2734375,-3.7732,1.6417,-0.1106,-2.1948,0,REST
71,0.27734375,-3.4098,0.5142,-3.5059,0.2363,0,REST
72,0.28125,-2.5297,-3.1764,-2.7853,3.0582,0,REST
73,0.28515625,-4.9738,1.3189,-5.198,4.0784,0,REST
74,0.2890625,-3.1557,3.9837,-3.7512,3.1295,0,REST
75,0.29296875,-3.0122,2.9448,-1.515,5.1027,0,REST
76,0.296875,-1.0573,7.244,-6.7287,1.0865,0,REST
77,0.30078125,-3.4826,3.8874,-2.6981,2.092,0,REST
78,0.3046875,-1.8561,4.5269,-2.1227,1.3194,0,REST
79,0.30859375,-1.0411,0.1379,-1.1144,7.8643,0,REST
80,0.3125,-0.2064,6.7171,-3.0287,4.6357,0,REST
81,0.31640625,2.1195,1.5147,-0.8407,4.2927,0,REST
82,0.3203125,1.8772,1.3038,0.6301,4.7619,0,REST
83,0.32421875,4.4141,3.2026,2.0101,5.1314,0,REST
84,0.328125,2.6386,1.8261,0.9081,3.5725,0,REST
85,0.33203125,3.7255,-0.1326,4.4446,3.4081,0,REST
86,0.3359375,4.632,-2.9609,4.8251,-2.3339,0,REST
87,0.33984375,2.9561,1.4601,7.4788,1.4585,0,REST
88,0.34375,6.2002,-0.3007,5.3229,1.6022,0,REST
89,0.34765625,2.1192,-4.7325,6.905,-1.3038,0,REST
90,0.3515625,4.0852,-0.4719,3.334,-4.8448,0,REST
91,0.35546875,-0.1643,-1.3764,6.9117,-5.3696,0,REST
92,0.359375,0.1664,-6.6887,5.5077,-1.9393,0,REST
93,0.36328125,-5.0723,-6.0327,-0.7505,-5.7906,0,REST
94,0.3671875,-3.3906,-4.8691,-1.3472,-5.0735,0,REST
95,0.37109375,-6.3566,0.545,0.45,-7.6513,0,REST
96,0.375,-10.0493,-1.4616,-4.3833,-6.835,0,REST
97,0.37890625,-8.7067,-1.3498,-7.5877,-5.2817,0,REST
98,0.3828125,-9.7195,-1.344,-8.8129,-4.0398,0,REST
99,0.38671875,-13.4954,-6.4994,-9.454,-3.3992,0,REST
100,0.390625,-9.9466,-2.7016,-12.7781,-0.5152,0,REST
101,0.39453125,-8.1257,0.0827,-12.9028,5.0366,0,REST
102,0.3984375,-6.2954,-1.8466,-8.8826,-1.2576,0,REST
103,0.40234375,-0.9271,-2.2576,-2.7476,5.9905,0,REST
104,0.40625,-3.0343,4.2721,-5.7349,5.7048,0,REST
105,0.41015625,3.2512,-0.5016,-4.7561,8.9039,0,REST
106,0.4140625,5.93,3.5996,-3.0616,7.8237,0,REST
107,0.41796875,7.8998,6.4069,0.5028,8.1906,0,REST
108,0.421875,11.8819,3.8896,5.0533,3.6872,0,REST
109,0.42578125,12.58,6.5488,7.2008,2.7208,0,REST
110,0.4296875,8.9407,4.5736,6.3077,5.648,0,REST
111,0.43359375,11.4254,5.0744,13.8095,4.4011,0,REST
112,0.4375,7.3818,2.3875,8.2115,0.4744,0,REST
113,0.44140625,8.0131,-1.0624,10.7128,-3.4023,0,REST
114,0.4453125,7.1047,1.7334,8.2269,-0.9228,0,REST
115,0.44921875,6.0725,0.329,8.4582,-8.5512,0,REST
116,0.453125,-1.8997,-2.2295,6.4034,-8.5387,0,REST
117,0.45703125,-5.9973,-1.8674,3.3764,-12.6315,0,REST
118,0.4609375,-6.3386,-3.6406,-0.5333,-14.7248,0,REST
119,0.46484375,-8.8807,-4.413,-3.8077,-9.8064,0,REST
120,0.46875,-6.7403,-3.9312,-1.3776,-7.8406,0,REST
121,0.47265625,-10.7781,-5.4789,-7.983,-10.0704,0,REST
122,0.4765625,-14.1626,-8.0559,-11.8825,0.828,0,REST
123,0.48046875,-16.0027,-6.3375,-11.4968,-2.7443,0,REST
124,0.484375,-6.7169,-3.9228,-15.1896,2.6227,0,REST
125,0.48828125,-7.2078,-1.7897,-10.26,4.9342,0,REST
126,0.4921875,-3.3916,-1.4585,-11.7776,7.1738,0,REST
127,0.49609375,-2.0172,-0.5857,-10.6919,9.4042,0,REST
128,0.5,-1.7964,-1.411,-8.5229,11.3185,0,REST
129,0.50390625,6.4348,1.2538,-4.7594,8.9939,0,REST
130,0.5078125,3.2187,3.8323,-2.7973,9.7266,0,REST
131,0.51171875,7.8314,6.7304,1.2967,11.4127,0,REST
132,0.515625,11.3659,5.5672,5.4333,8.3441,0,REST
133,0.51953125,10.0478,7.92,11.5686,4.8276,0,REST
134,0.5234375,14.3122,7.1489,10.2694,3.6906,0,REST
135,0.52734375,12.4863,6.9983,12.974,6.3298,0,REST
136,0.53125,12.3057,5.5576,18.0263,-0.8504,0,REST
137,0.53515625,7.2683,5.82,12.2351,-6.5187,0,REST
138,0.5390625,3.7038,6.0603,7.5482,-8.992,0,REST
139,0.54296875,5.3022,3.5492,11.9008,-12.6252,0,REST
140,0.546875,-0.3623,-1.6406,7.0794,-12.7138,0,REST
141,0.55078125,-4.1202,0.475,4.4334,-9.4689,0,REST
142,0.5546875,-3.4723,-3.5923,0.5507,-10.432,0,REST
143,0.55859375,-7.8569,-4.8292,0.6089,-10.8221,0,REST
144,0.5625,-9.78,-8.3524,-2.39,-7.7634,0,REST
145,0.56640625,-10.5586,-9.6345,-11.0666,-6.0943,0,REST
146,0.5703125,-10.5266,-9.6747,-11.1497,-3.2617,0,REST
147,0.57421875,-9.8209,-11.4719,-13.2709,-2.3103,0,REST
148,0.578125,-11.083,-9.6365,-12.047,8.1894,0,REST
149,0.58203125,-6.1476,-5.4576,-15.2588,8.6176,0,REST
150,0.5859375,-5.6982,-5.8117,-8.6094,8.2835,0,REST
151,0.58984375,0.3959,-1.7798,-9.0704,10.2114,0,REST
152,0.59375,1.1335,-1.0118,-8.511,14.4728,0,REST
153,0.59765625,0.7348,1.5705,-6.9742,13.1518,0,REST
154,0.6015625,2.827,3.0802,-2.9673,7.872,0,REST
155,0.60546875,8.4751,6.9498,3.0694,7.8719,0,REST
156,0.609375,8.1456,10.9313,5.2683,6.7327,0,REST
157,0.61328125,12.0717,7.536,5.3627,5.9219,0,REST
158,0.6171875,12.7758,9.7604,3.1923,-3.3348,0,REST
159,0.62109375,13.2088,10.6648,8.4744,-2.6662,0,REST
160,0.625,9.894,11.5816,9.6987,-5.4234,0,REST
161,0.62890625,7.4078,9.8694,8.7714,-8.2012,0,REST
162,0.6328125,6.5204,3.9132,6.7215,-8.3408,0,REST
163,0.63671875,3.168,7.8228,6.8055,-12.0652,0,REST
164,0.640625,2.2831,4.9377,5.0639,-10.104,0,REST
165,0.64453125,-7.1237,-1.3599,2.0238,-11.5973,0,REST
166,0.6484375,-7.2817,-2.6119,0.8232,-13.047,0,REST
167,0.65234375,-6.7523,-5.8885,3.475,-8.5644,0,REST
168,0.65625,-8.1245,-5.5657,-1.725,-3.5726,0,REST
169,0.66015625,-4.7423,-11.3957,-3.9418,-2.4543,0,REST
170,0.6640625,-9.3018,-8.1819,-6.1033,2.8524,0,REST
171,0.66796875,-4.8947,-10.2177,-6.6259,4.6246,0,REST
172,0.671875,-6.45,-11.782,-5.4431,9.1512,0,REST
173,0.67578125,-5.3095,-9.9302,-6.7053,9.7932,0,REST
174,0.6796875,-4.1055,-11.9522,-4.7595,6.8367,0,REST
175,0.68359375,-1.4352,-6.7987,-5.6791,9.9315,0,REST
176,0.6875,0.061,-1.2839,-2.0186,12.5008,0,REST
177,0.69140625,6.334,0.8689,-2.706,10.6458,0,REST
178,0.6953125,0.0259,4.8015,-4.899,9.3487,0,REST
179,0.69921875,2.4502,4.1603,-3.3295,2.7866,0,REST
180,0.703125,4.2628,9.3923,-0.817,4.2759,0,REST
181,0.70703125,8.2705,12.1738,-0.3506,4.8395,0,REST
182,0.7109375,1.7735,9.615,6.5923,-1.2579,0,REST
183,0.71484375,3.9331,11.9727,2.2267,-9.0439,0,REST
184,0.71875,4.9351,9.717,0.6286,-6.893,0,REST
185,0.72265625,4.0151,7.9666,2.0623,-8.7547,0,REST
186,0.7265625,5.0081,6.8318,1.742,-9.4338,0,REST
187,0.73046875,1.1603,5.4253,2.2709,-11.6135,0,REST
188,0.734375,5.737,2.1072,1.1869,-11.2875,0,REST
189,0.73828125,-1.9005,-0.777,0.4109,-3.887,0,REST
190,0.7421875,0.5787,-5.5169,3.872,-3.7632,0,REST
191,0.74609375,-0.7575,-7.7107,5.2576,-3.2257,0,REST
192,0.75,-2.8908,-12.5771,0.8437,-2.6586,0,REST
193,0.75390625,0.3277,-11.6551,1.4729,3.1479,0,REST
194,0.7578125,-1.7757,-16.164,1.3986,1.9164,0,REST
195,0.76171875,-0.277,-12.021,0.1753,4.5741,0,REST
196,0.765625,-3.9565,-13.1643,0.6406,6.3886,0,REST
197,0.76953125,-1.753,-12.293,-2.9132,5.2549,0,REST
198,0.7734375,-7.655,-4.2061,-0.1641,11.2222,0,REST
199,0.77734375,-0.3461,-8.897,-0.0885,5.2063,0,REST
200,0.78125,-5.1764,0.3434,-2.5115,7.2833,0,REST
201,0.78515625,-1.1249,-0.4949,-7.5272,5.0888,0,REST
202,0.7890625,-8.0715,6.4424,-6.719,3.7182,0,REST
203,0.79296875,-2.1761,5.3668,-3.297,1.7114,0,REST
204,0.796875,-4.8477,9.868,-3.0266,1.261,0,REST
205,0.80078125,-0.9855,7.3958,-2.036,1.6365,0,REST
206,0.8046875,-2.9379,11.3723,-5.0368,-4.1712,0,REST
207,0.80859375,2.9321,12.6237,-3.6706,1.51,0,REST
208,0.8125,-0.4101,8.0245,-4.8266,-0.2662,0,REST
209,0.81640625,2.4625,6.1619,-2.0414,-6.5972,0,REST
210,0.8203125,3.5797,6.9475,-5.8097,-4.2298,0,REST
211,0.82421875,4.8262,5.9174,-2.3116,-7.0068,0,REST
212,0.828125,6.4619,2.6672,-4.1222,-4.5963,0,REST
213,0.83203125,9.1341,-3.166,1.5169,-2.0778,0,REST
214,0.8359375,9.1408,-6.4058,2.8937,-0.1773,0,REST
215,0.83984375,6.4154,-4.6069,5.6752,0.856,0,REST
216,0.84375,10.8351,-7.4773,7.8332,-1.7161,0,REST
217,0.84765625,6.2811,-10.9714,6.2084,-0.2276,0,REST
218,0.8515625,1.7184,-10.7932,6.8271,-3.1412,0,REST
219,0.85546875,1.9519,-12.7846,4.5389,2.9123,0,REST
220,0.859375,1.2674,-8.8478,7.43,3.2767,0,REST
221,0.86328125,-5.1966,-6.6867,4.6983,0.0853,0,REST
222,0.8671875,-4.6561,-6.666,4.8218,1.4916,0,REST
223,0.87109375,-6.4056,-4.5967,3.2606,2.2554,0,REST
224,0.875,-8.5743,-6.1104,-0.3779,5.0317,0,REST
225,0.87890625,-14.4407,3.7231,-1.0629,2.354,0,REST
226,0.8828125,-12.603,6.8226,-3.7789,-0.6911,0,REST
227,0.88671875,-6.0591,10.1168,-8.3457,4.1069,0,REST
228,0.890625,-9.6466,8.797,-9.5442,2.0467,0,REST
229,0.89453125,-9.7067,10.0314,-8.49,-0.1117,0,REST
230,0.8984375,-5.0625,9.7354,-9.5443,2.137,0,REST
231,0.90234375,-3.0619,11.6913,-11.9956,1.862,0,REST
232,0.90625,1.8931,8.0025,-7.3267,5.1847,0,REST
233,0.91015625,4.1332,10.7725,-5.7626,0.2039,0,REST
234,0.9140625,7.3884,6.3905,-5.7227,-1.5758,0,REST
235,0.91796875,9.4851,1.7818,-2.7241,-3.8434,0,REST
236,0.921875,9.2489,0.3411,-1.3594,-0.7695,0,REST
237,0.92578125,9.4871,-2.6655,4.3889,-4.981,0,REST
238,0.9296875,10.288,-4.4353,7.8605,-2.234,0,REST
239,0.93359375,10.4863,-8.6054,7.3512,-2.9898,0,REST
240,0.9375,11.5288,-8.2225,9.4952,-4.8535,0,REST
241,0.94140625,5.8302,-7.9138,11.0041,-1.4415,0,REST
242,0.9453125,10.5536,-10.749,16.2193,-4.4223,0,REST
243,0.94921875,0.4231,-10.3483,11.4924,-5.1803,0,REST
244,0.953125,-1.6588,-9.8627,12.2428,-3.8099,0,REST
245,0.95703125,0.2484,-7.7068,9.3823,-0.5341,0,REST
246,0.9609375,-6.4989,-6.4337,6.5865,-3.0539,0,REST
247,0.96484375,-10.1835,-8.6718,6.9406,2.562,0,REST
248,0.96875,-14.1933,-0.7991,4.5154,2.9649,0,REST
249,0.97265625,-10.2111,1.1684,1.1343,0.9852,0,REST
250,0.9765625,-11.8626,1.291,-3.3719,7.8713,0,REST
251,0.98046875,-14.1484,2.5073,-5.8944,6.0155,0,REST
252,0.984375,-13.1937,7.5464,-12.1352,7.2395,0,REST
253,0.98828125,-12.5221,5.2645,-9.2422,7.8588,0,REST
254,0.9921875,-6.5635,8.0239,-9.5931,8.5741,0,REST
255,0.99609375,-4.2692,9.1898,-12.8275,8.1322,0,REST
256,1.0,-0.6696,7.9416,-13.4556,6.437,0,REST
257,1.00390625,5.564,4.6335,-8.1802,0.1125,0,REST
258,1.0078125,7.2751,6.3,-9.8886,1.5191,0,REST
259,1.01171875,11.3934,7.4048,-6.0361,0.5996,0,REST
260,1.015625,9.4241,2.7626,-1.8078,-6.5034,0,REST
261,1.01953125,10.7993,-0.5495,1.7624,-7.1965,0,REST
262,1.0234375,12.8571,1.0707,6.7233,-8.9561,0,REST
263,1.02734375,14.985,-2.5282,5.8504,-7.8882,0,REST
264,1.03125,6.7456,-3.3268,7.2851,-8.5493,0,REST
265,1.03515625,7.9545,-3.2558,7.5983,-9.4507,0,REST
266,1.0390625,9.0142,-4.2194,10.6864,-7.3797,0,REST
267,1.04296875,4.2216,-8.0384,12.9436,-6.0255,0,REST
268,1.046875,-2.9206,-6.022,12.9253,-5.7712,0,REST
269,1.05078125,-6.4199,-2.7607,10.3071,-0.6122,0,REST
270,1.0546875,-3.6289,-4.2462,6.7471,-2.3056,0,REST
271,1.05859375,-7.2169,-4.1142,6.8742,1.4781,0,REST
272,1.0625,-10.0639,-4.7707,3.409,7.8344,0,REST
273,1.06640625,-9.0403,0.0387,0.4092,7.0437,0,REST
274,1.0703125,-14.4804,0.0571,-0.7362,13.2267,0,REST
275,1.07421875,-13.3347,-0.6968,-5.6136,10.2323,0,REST
276,1.078125,-12.0618,2.3371,-8.6496,12.6123,0,REST
277,1.08203125,-7.1526,4.6197,-9.8855,9.0135,0,REST
278,1.0859375,-7.1741,9.8031,-13.6853,12.4972,0,REST
279,1.08984375,-4.3549,3.0903,-11.0811,7.8201,0,REST
280,1.09375,0.5252,3.9435,-8.3306,5.9232,0,REST
281,1.09765625,1.8654,3.711,-12.039,0.8739,0,REST
282,1.1015625,7.8839,3.2471,-7.6033,-1.6159,0,REST
283,1.10546875,6.0727,2.2191,-7.8408,-3.3396,0,REST
284,1.109375,10.2,1.6008,-0.2439,-8.0168,0,REST
285,1.11328125,9.4532,5.8649,2.8852,-11.5098,0,REST
286,1.1171875,8.909,1.1255,3.2029,-13.3624,0,REST
287,1.12109375,6.8095,2.309,3.2725,-14.7286,0,REST
288,1.125,5.5127,0.5092,7.296,-11.7199,0,REST
289,1.12890625,4.9173,-2.6893,10.1681,-14.4173,0,REST
290,1.1328125,5.9178,0.8856,6.0481,-9.5314,0,REST
291,1.13671875,4.7702,-4.8564,8.1502,-7.806,0,REST
292,1.140625,2.3515,-3.6093,10.2414,-1.8346,0,REST
293,1.14453125,-2.358,-1.1102,8.8137,-3.1074,0,REST
294,1.1484375,-5.3314,-3.2156,6.2279,4.0012,0,REST
295,1.15234375,-7.7456,-4.7122,1.4581,9.2081,0,REST
296,1.15625,-6.6436,-5.9244,5.0784,8.838,0,REST
297,1.16015625,-6.1394,0.5687,2.1323,11.9719,0,REST
298,1.1640625,-7.6635,-0.2539,0.6786,13.1525,0,REST
299,1.16796875,-6.661,-1.9481,2.6995,13.4275,0,REST
300,1.171875,-5.0967,-0.8277,-3.4263,12.9295,0,REST
301,1.17578125,-2.5619,-0.643,-3.9615,11.4132,0,REST
302,1.1796875,-5.1342,3.1355,-7.6121,10.4439,0,REST
303,1.18359375,0.5314,-1.425,-4.7248,3.6781,0,REST
304,1.1875,-0.6235,0.1945,-4.1947,1.5051,0,REST
305,1.19140625,-1.2109,0.2494,-4.5293,0.8864,0,REST
306,1.1953125,6.9975,1.6851,-6.5535,-4.2026,0,REST
307,1.19921875,-0.755,3.0884,-3.9327,-5.483,0,REST
308,1.203125,3.4337,2.4152,-0.8006,-12.4329,0,REST
309,1.20703125,2.9979,6.8522,-0.8956,-16.3122,0,REST
310,1.2109375,2.1946,3.1651,1.2081,-11.1073,0,REST
311,1.21484375,4.131,3.9448,-1.7723,-12.2415,0,REST
312,1.21875,5.577,2.7652,-2.8987,-11.8561,0,REST
313,1.22265625,4.2965,3.95,-1.4438,-7.0275,0,REST
314,1.2265625,1.2362,3.856,1.4668,-7.0065,0,REST
315,1.23046875,-0.6447,2.5153,7.7796,-5.4877,0,REST
316,1.234375,1.2403,0.9175,5.4064,2.1849,0,REST
317,1.23828125,1.1941,1.0661,2.3946,-1.836,0,REST
318,1.2421875,1.1834,-0.9756,3.8234,5.5201,0,REST
319,1.24609375,1.9959,-2.9209,-0.2531,10.2254,0,REST
320,1.25,0.1166,-3.5783,5.9221,11.3446,0,REST
321,1.25390625,-2.8405,-5.7732,5.6554,15.3678,0,REST
322,1.2578125,0.017,-6.5339,4.6836,15.3769,0,REST
323,1.26171875,-0.5843,-6.286,1.2812,13.475,0,REST
324,1.265625,-1.9925,-7.2689,4.7899,10.8702,0,REST
325,1.26953125,-0.5144,-5.5066,-0.2177,9.1176,0,REST
326,1.2734375,1.1792,-5.5734,-0.2382,4.9853,0,REST
327,1.27734375,-2.0138,-3.6347,0.8809,3.2288,0,REST
328,1.28125,-6.3538,-3.9448,5.0665,-0.1001,0,REST
329,1.28515625,-0.4151,0.7014,0.1528,-5.8989,0,REST
330,1.2890625,-4.1136,0.7511,-1.061,-8.3303,0,REST
331,1.29296875,-4.1995,3.0423,-3.2029,-5.6062,0,REST
332,1.296875,-3.3035,5.2947,-5.4559,-12.2004,0,REST
333,1.30078125,-1.4574,4.6253,-5.9211,-8.5353,0,REST
334,1.3046875,-0.6737,7.6821,-7.6697,-12.0414,0,REST
335,1.30859375,-0.6332,10.6361,-6.7361,-9.0069,0,REST
336,1.3125,1.146,7.0179,-5.3698,-5.598,0,REST
337,1.31640625,-0.0998,9.1997,-5.2669,-6.1996,0,REST
338,1.3203125,4.4571,7.5141,-6.7673,-0.2707,0,REST
339,1.32421875,5.0665,7.5629,-2.4084,1.4812,0,REST
340,1.328125,4.5062,0.219,-3.2936,7.1583,0,REST
341,1.33203125,5.8461,1.4874,2.8254,6.6512,0,REST
342,1.3359375,10.2556,0.5692,1.1778,8.0775,0,REST
343,1.33984375,6.7217,-6.1119,-0.4808,6.2219,0,REST
344,1.34375,5.1853,-3.6597,-1.4756,9.5125,0,REST
345,1.34765625,3.7485,-5.8535,1.865,12.1991,0,REST
346,1.3515625,5.0533,-9.0166,3.6718,11.2215,0,REST
347,1.35546875,3.148,-7.4712,5.2005,8.265,0,REST
348,1.359375,-1.8741,-9.5396,10.3825,2.9561,0,REST
349,1.36328125,-2.7076,-6.4525,8.8498,5.3159,0,REST
350,1.3671875,-3.5437,-2.8544,11.1749,-0.762,0,REST
351,1.37109375,-7.851,-5.6932,9.1818,-1.3929,0,REST
352,1.375,-4.7901,-5.4909,6.1244,-3.8104,0,REST
353,1.37890625,-9.1497,-1.671,4.8533,-4.1694,0,REST
354,1.3828125,-9.4966,-0.3919,3.8637,-8.9197,0,REST
355,1.38671875,-8.0961,7.7465,-0.967,-4.2507,0,REST
356,1.390625,-12.0608,6.5899,-2.0455,-5.3356,0,REST
357,1.39453125,-8.1969,8.4431,-3.8805,-6.6377,0,REST
358,1.3984375,-4.9693,10.6836,-8.145,-5.3135,0,REST
359,1.40234375,-4.7322,9.6137,-8.3085,-8.3607,0,REST
360,1.40625,1.7833,11.7047,-8.0687,-1.8262,0,REST
361,1.41015625,-0.4988,13.3292,-11.1579,-5.3151,0,REST
362,1.4140625,8.1753,10.3284,-10.8548,-4.4528,0,REST
363,1.41796875,8.8998,6.4603,-14.0257,0.3949,0,REST
364,1.421875,10.2719,0.5502,-10.8706,0.6988,0,REST
365,1.42578125,11.3501,4.2184,-7.0162,2.644,0,REST
366,1.4296875,12.5359,-3.1955,-1.1154,2.7653,0,REST
367,1.43359375,12.6738,-4.9464,-2.75,1.2146,0,REST
368,1.4375,12.4085,-8.9701,4.509,2.6123,0,REST
369,1.44140625,9.2283,-8.8181,8.5622,4.2127,0,REST
370,1.4453125,7.9258,-14.7127,4.3868,0.057,0,REST
371,1.44921875,1.961,-16.3955,10.1838,4.2669,0,REST
372,1.453125,0.9975,-16.9718,11.0298,4.5914,0,REST
373,1.45703125,-3.251,-13.6058,15.9401,2.0291,0,REST
374,1.4609375,-6.2034,-10.1235,9.1768,2.4505,0,REST
375,1.46484375,-4.9161,-10.4688,7.3006,-2.3543,0,REST
376,1.46875,-9.0467,-3.8912,11.0648,-0.5444,0,REST
377,1.47265625,-11.4795,2.2783,7.8056,-4.1568,0,REST
378,1.4765625,-16.6434,-0.0114,1.5311,0.2198,0,REST
379,1.48046875,-13.0304,4.1713,0.326,2.7111,0,REST
380,1.484375,-11.6575,7.5735,-2.9233,-3.8812,0,REST
381,1.48828125,-8.5034,9.4828,-4.6326,-0.2534,0,REST
382,1.4921875,-6.6896,11.802,-7.1705,-3.6771,0,REST
383,1.49609375,-1.4274,11.8268,-9.564,-4.1626,0,REST
384,1.5,0.0534,14.6825,-12.06,-2.6634,0,REST
385,1.50390625,0.6575,13.0338,-10.8738,-6.2735,0,REST
386,1.5078125,0.8354,9.6585,-11.5145,-2.4427,0,REST
387,1.51171875,12.6373,9.6203,-10.789,-2.3636,0,REST
388,1.515625,11.9858,5.7369,-12.0509,-5.4005,0,REST
389,1.51953125,11.1226,-0.7318,-8.6866,-0.5327,0,REST
390,1.5234375,12.4032,-3.6524,-5.1157,-4.6294,0,REST
391,1.52734375,15.666,-3.0647,-1.6666,0.4114,0,REST
392,1.53125,10.0816,-9.9464,4.3331,-2.1801,0,REST
393,1.53515625,6.7048,-12.7226,8.1725,1.979,0,REST
394,1.5390625,4.8185,-13.4665,6.1942,2.0826,0,REST
395,1.54296875,6.8128,-13.3086,9.1069,5.4825,0,REST
396,1.546875,0.5725,-16.5566,10.0651,2.2826,0,REST
397,1.55078125,2.1334,-11.2953,17.0918,1.5204,0,REST
398,1.5546875,-6.4344,-13.4537,12.7421,7.87,0,REST
399,1.55859375,-8.6413,-7.9238,12.2268,5.5246,0,REST
400,1.5625,-10.4665,-2.2571,8.7825,8.1386,0,REST
401,1.56640625,-12.9611,-0.6937,3.5887,8.0023,0,REST
402,1.5703125,-14.9219,2.0564,4.1715,6.3014,0,REST
403,1.57421875,-9.8822,6.0546,1.8282,1.3542,0,REST
404,1.578125,-9.0116,9.6605,-0.1828,4.0445,0,REST
405,1.58203125,-9.1852,11.9188,-2.4064,-2.2816,0,REST
